Episode	Accumulated Reward	Average Reward	Length	Steps
208	-24	-1.0	24	7650
209	-20	-1.0	20	7670
210	-22	-1.0	22	7692
211	-24	-1.0	24	7716
212	-19	-1.0	19	7735
213	-19	-1.0	19	7754
214	-26	-1.0	26	7780
215	-22	-1.0	22	7802
216	-123	-5.125	24	7826
217	-18	-1.0	18	7844
218	-20	-1.0	20	7864
219	-20	-1.0	20	7884
220	-19	-1.0	19	7903
221	-20	-1.0	20	7923
222	-18	-1.0	18	7941
223	-18	-1.0	18	7959
224	-22	-1.0	22	7981
225	-18	-1.0	18	7999
226	-22	-1.0	22	8021
227	-19	-1.0	19	8040
228	-20	-1.0	20	8060
229	-19	-1.0	19	8079
230	-20	-1.0	20	8099
231	-18	-1.0	18	8117
232	-20	-1.0	20	8137
233	-21	-1.0	21	8158
234	-18	-1.0	18	8176
235	-23	-1.0	23	8199
236	-20	-1.0	20	8219
237	-28	-1.0	28	8247
238	-25	-1.0	25	8272
239	-19	-1.0	19	8291
240	-23	-1.0	23	8314
241	-24	-1.0	24	8338
242	-21	-1.0	21	8359
243	-18	-1.0	18	8377
244	-18	-1.0	18	8395
245	-18	-1.0	18	8413
246	-18	-1.0	18	8431
247	-18	-1.0	18	8449
248	-18	-1.0	18	8467
249	-20	-1.0	20	8487
250	-19	-1.0	19	8506
251	-20	-1.0	20	8526
252	-25	-1.0	25	8551
253	-24	-1.0	24	8575
254	-19	-1.0	19	8594
255	-20	-1.0	20	8614
256	-21	-1.0	21	8635
257	-27	-1.0	27	8662
258	-18	-1.0	18	8680
259	-18	-1.0	18	8698
260	-18	-1.0	18	8716
261	-26	-1.0	26	8742
262	-20	-1.0	20	8762
263	-18	-1.0	18	8780
264	-18	-1.0	18	8798
265	-18	-1.0	18	8816
266	-22	-1.0	22	8838
267	-24	-1.0	24	8862
268	-18	-1.0	18	8880
269	-20	-1.0	20	8900
270	-18	-1.0	18	8918
271	-22	-1.0	22	8940
272	-18	-1.0	18	8958
273	-18	-1.0	18	8976
274	-246	-1.6734693877551021	147	9123
275	-45	-1.0	45	9168
276	-37	-1.0	37	9205
277	-22	-1.0	22	9227
278	-22	-1.0	22	9249
279	-21	-1.0	21	9270
280	-21	-1.0	21	9291
281	-20	-1.0	20	9311
282	-21	-1.0	21	9332
283	-20	-1.0	20	9352
284	-20	-1.0	20	9372
285	-22	-1.0	22	9394
286	-21	-1.0	21	9415
287	-20	-1.0	20	9435
288	-26	-1.0	26	9461
289	-24	-1.0	24	9485
290	-22	-1.0	22	9507
291	-20	-1.0	20	9527
292	-23	-1.0	23	9550
293	-30	-1.0	30	9580
294	-22	-1.0	22	9602
295	-20	-1.0	20	9622
296	-27	-1.0	27	9649
297	-30	-1.0	30	9679
298	-118	-6.2105263157894735	19	9698
299	-20	-1.0	20	9718
300	-18	-1.0	18	9736
301	-389	-1.3413793103448275	290	10026
302	-131	-1.0	131	10157
303	-25	-1.0	25	10182
304	-20	-1.0	20	10202
305	-36	-1.0	36	10238
306	-34	-1.0	34	10272
307	-20	-1.0	20	10292
308	-22	-1.0	22	10314
309	-20	-1.0	20	10334
310	-18	-1.0	18	10352
311	-20	-1.0	20	10372
312	-22	-1.0	22	10394
313	-22	-1.0	22	10416
314	-20	-1.0	20	10436
315	-20	-1.0	20	10456
316	-19	-1.0	19	10475
317	-20	-1.0	20	10495
318	-22	-1.0	22	10517
319	-20	-1.0	20	10537
320	-18	-1.0	18	10555
321	-18	-1.0	18	10573
322	-21	-1.0	21	10594
323	-138	-3.5384615384615383	39	10633
324	-24	-1.0	24	10657
325	-22	-1.0	22	10679
326	-18	-1.0	18	10697
327	-18	-1.0	18	10715
328	-20	-1.0	20	10735
329	-19	-1.0	19	10754
330	-25	-1.0	25	10779
331	-24	-1.0	24	10803
332	-20	-1.0	20	10823
333	-18	-1.0	18	10841
334	-20	-1.0	20	10861
335	-20	-1.0	20	10881
336	-18	-1.0	18	10899
337	-20	-1.0	20	10919
338	-18	-1.0	18	10937
339	-19	-1.0	19	10956
340	-22	-1.0	22	10978
341	-19	-1.0	19	10997
342	-22	-1.0	22	11019
343	-20	-1.0	20	11039
344	-20	-1.0	20	11059
345	-22	-1.0	22	11081
346	-18	-1.0	18	11099
347	-19	-1.0	19	11118
348	-22	-1.0	22	11140
349	-18	-1.0	18	11158
350	-24	-1.0	24	11182
351	-20	-1.0	20	11202
352	-20	-1.0	20	11222
353	-18	-1.0	18	11240
354	-18	-1.0	18	11258
355	-18	-1.0	18	11276
356	-18	-1.0	18	11294
357	-20	-1.0	20	11314
358	-20	-1.0	20	11334
359	-18	-1.0	18	11352
360	-18	-1.0	18	11370
361	-20	-1.0	20	11390
362	-20	-1.0	20	11410
363	-18	-1.0	18	11428
364	-20	-1.0	20	11448
365	-19	-1.0	19	11467
366	-18	-1.0	18	11485
367	-21	-1.0	21	11506
368	-21	-1.0	21	11527
369	-18	-1.0	18	11545
370	-21	-1.0	21	11566
371	-18	-1.0	18	11584
372	-118	-6.2105263157894735	19	11603
373	-23	-1.0	23	11626
374	-18	-1.0	18	11644
375	-23	-1.0	23	11667
376	-27	-1.0	27	11694
377	-18	-1.0	18	11712
378	-28	-1.0	28	11740
379	-18	-1.0	18	11758
380	-18	-1.0	18	11776
381	-18	-1.0	18	11794
382	-18	-1.0	18	11812
383	-24	-1.0	24	11836
384	-26	-1.0	26	11862
385	-23	-1.0	23	11885
386	-27	-1.0	27	11912
387	-20	-1.0	20	11932
388	-18	-1.0	18	11950
389	-18	-1.0	18	11968
390	-20	-1.0	20	11988
391	-25	-1.0	25	12013
392	-20	-1.0	20	12033
393	-20	-1.0	20	12053
394	-20	-1.0	20	12073
395	-22	-1.0	22	12095
396	-18	-1.0	18	12113
397	-24	-1.0	24	12137
398	-18	-1.0	18	12155
399	-18	-1.0	18	12173
400	-19	-1.0	19	12192
401	-31	-1.0	31	12223
402	-28	-1.0	28	12251
403	-22	-1.0	22	12273
404	-22	-1.0	22	12295
405	-18	-1.0	18	12313
406	-33	-1.0	33	12346
407	-28	-1.0	28	12374
